Country.Name,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,Continent,Built_up_Land,Carbon,Cropland,Fishing,Forest_Products,Grazing_Land,BC2015,EF_Rank,Total_EF,EF_rank
Lao People's Democratic Republic,1.278031055,1.22315987,1.231780861,1.293515575,1.35581632,1.367043296,1.436818694,1.608659592,1.825616456,1.823374678,Asia,0.122446583,0.135561954,0.615460788,0.009859214,0.434438632,0.12661447,1.938007472,Low,1.44438164,Medium & Low
Lebanon,3.412932433,3.294980884,3.62913047,4.325630698,4.153442464,3.757909788,3.604112809,3.450513033,3.567659843,3.356310748,Asia,0.060176117,2.24007886,0.699157835,0.049501757,0.228650159,0.37769759,0.290194705,Medium,3.655262317,Medium & Low
Lesotho,1.574873119,1.570372338,1.592266544,1.641225734,1.636505688,1.631928052,1.652585607,1.414955358,1.367528335,1.264867048,Africa,0.009738903,0.477123,0.222076344,0.005909885,0.403765298,0.416097352,0.761005436,Low,1.534710782,Medium & Low
Libyan Arab Jamahiriya,3.324687247,3.025868011,3.325972562,4.007187522,4.337227421,3.104469235,4.009752946,4.441569323,4.266408068,3.900992078,Africa,0.017948547,2.478136987,0.740095206,0.088798797,0.126982199,0.322451707,0.684188341,Medium,3.774413441,Medium & Low
Lithuania,4.717848102,5.035313515,5.051994773,4.462660748,4.855413955,5.090828824,5.220534063,4.976422764,5.554164778,5.604383346,Europe,0.083335834,2.35548956,0.986401462,0.282580264,1.117825779,0.231323589,5.486382338,High,5.056956487,High
Madagascar,1.097759414,1.07260875,1.076545753,1.047366938,1.037180689,1.000881779,0.995205476,0.964134155,0.967617298,0.933960918,Africa,0.056290465,0.066157566,0.264058316,0.025278208,0.249982545,0.357559017,2.406942619,Low,1.019326117,Medium & Low
Malawi,0.736954679,0.765552037,0.766705796,0.814018373,0.800352613,0.802314266,0.82677257,0.844019651,0.808030213,0.765837386,Africa,0.051728005,0.068779675,0.415156231,0.010730255,0.205207977,0.041453615,0.579528285,Low,0.793055758,Medium & Low
Malaysia,4.477606446,4.102465266,4.280301748,3.584957494,3.812743244,3.826952657,3.883707945,4.140460448,4.228222581,3.948969932,Asia,0.079748546,2.35972074,0.678424681,0.377459661,0.407035548,0.1262496,2.344069253,High,4.028638776,High
Mali,1.486984017,1.517613161,1.523239838,1.606227234,1.540471243,1.643092188,1.524056522,1.508321867,1.545945894,1.589578547,Africa,0.063320981,0.118753511,0.521355115,0.032042698,0.162187226,0.650893521,1.531179668,Low,1.548553051,Medium & Low
Mexico,3.008613288,3.059931474,3.111176556,2.86354808,3.18456557,2.74315214,2.943030193,2.658199298,2.576149113,2.565281798,North America,0.042318278,1.676128436,0.538668878,0.070467106,0.271146348,0.272635705,1.165619429,Medium,2.871364751,Medium & Low
Mozambique,0.843386593,0.797592042,0.785087649,0.81252704,0.882448999,1.031081274,0.936084122,0.868595798,0.843441022,0.843779452,Africa,0.050993372,0.168304028,0.293676344,0.020971614,0.300386507,0.030070534,1.819350234,Low,0.864402399,Medium & Low
Moldova,1.855492248,1.648203915,2.186083339,1.594425213,1.82994225,1.749171249,1.670561273,1.788749225,1.797407437,1.555051318,Europe,0.045211212,0.91656178,0.548176795,0.049872874,0.128239425,0.079446661,0.94455996,Low,1.767508747,Medium & Low
Nepal,0.857031479,0.852200117,0.864268367,0.869505124,0.944661123,0.976264626,0.992928219,0.969462695,1.030122767,0.99688377,Asia,0.095522877,0.160819943,0.393030506,0.00307657,0.215638487,0.067244446,0.587869322,Low,0.935332829,Medium & Low
Netherlands,7.076633396,7.083905409,7.177950688,5.756397573,6.609671393,6.393037602,6.628135119,6.059112454,6.135233571,5.724419905,Europe,0.087426725,4.341441976,1.021931011,0.121247024,0.38899515,0.503407825,0.853279926,High,6.464449711,High
Macedonia TFYR,3.283825029,3.551365186,3.700329627,3.493275432,3.232675069,3.46056914,3.403161267,3.052043462,3.050214376,3.212221366,Europe,0.026486782,2.096345708,0.689970163,0.029436455,0.275214446,0.226514442,1.550285797,Medium,3.343967995,Medium & Low
Nicaragua,1.768652178,1.617507342,1.559356439,1.52235013,1.473858959,1.573914649,1.467689626,1.480573209,1.408252284,1.521273371,North America,0.042217883,0.45604564,0.323344629,0.031854515,0.434005691,0.25187446,2.192486747,Low,1.539342819,Medium & Low
Niger,1.6062561,1.695440632,1.89797609,1.48301363,1.758384428,1.762268524,1.528630376,1.595166954,1.740923806,1.69875234,Africa,0.033164341,0.076277317,0.802287404,0.015987266,0.262768591,0.486196371,1.375945334,Low,1.676681288,Medium & Low
Nigeria,1.383640816,1.269567935,1.238011264,1.171781513,1.27043404,1.174212994,1.189913891,1.184621308,1.174770638,1.136511044,Africa,0.048359268,0.248957899,0.556634111,0.067508531,0.202416735,0.095470002,0.70160734,Low,1.219346544,Medium & Low
Norway,6.476490516,7.002066721,7.073546507,6.247340649,6.989729125,6.340162793,6.088419833,6.19282619,6.103393604,5.86621456,Europe,0.050878155,3.254801082,0.869910859,1.206832946,0.754041419,0.301554589,7.354864665,High,6.43801905,High
Pakistan,0.870340632,0.926129013,0.899865938,0.913391115,0.850004609,0.825141526,0.787517137,0.797266191,0.827300856,0.8102305,Asia,0.039791896,0.372873089,0.323507633,0.015273032,0.092777977,0.006495126,0.362037019,Low,0.850718752,Medium & Low
Panama,2.924279568,2.867953162,2.882019935,2.838034046,3.019367432,3.068410565,2.487759276,2.470236749,2.35423019,2.406753581,North America,0.027520214,1.256572861,0.370651509,0.451178522,0.197114255,0.42886709,2.802224586,Medium,2.73190445,Medium & Low
Czech Republic,6.424665968,6.464982215,6.458010543,5.665143691,6.238739387,6.098782866,5.372598698,5.549074739,5.594957918,5.555835257,Europe,0.14357083,3.783739566,0.759896786,0.035650194,0.933820697,0.285601055,2.564365612,High,5.942279128,High
Paraguay,2.91771739,3.207064066,3.12717764,2.899814376,3.352197006,3.663404981,3.320711426,3.52346726,3.240272289,3.016110202,Latin America and the Caribbean,0.112036633,0.489907916,0.627824219,0.0075834,0.881209927,1.108231569,10.11198391,Medium,3.226793664,Medium & Low
Peru,2.014896043,2.078220084,2.195459857,2.115507011,2.166504356,2.299929792,2.215164169,2.322485137,2.273156142,2.395458143,Latin America and the Caribbean,0.066438298,0.617767455,0.445661207,0.383453474,0.180755912,0.513601728,3.74836616,Medium,2.207678073,Medium & Low
Philippines,1.238050296,1.247251796,1.259394734,1.228186165,1.160688191,1.153721217,1.117889872,1.040284366,1.097703177,1.150527969,Asia,0.059004025,0.375113702,0.384573437,0.225828659,0.093213778,0.031636178,0.567185785,Low,1.169369778,Medium & Low
Poland,4.469993862,4.911551084,4.869039217,4.629668101,4.814544833,4.755147845,4.474187986,4.318032395,4.383275468,4.171915343,Europe,0.076377586,2.81763724,0.81159125,0.060378883,0.77275303,0.040997625,1.952897589,High,4.579735613,High
Portugal,4.601476564,4.595292569,4.473415342,4.340231063,4.443663109,4.016314736,3.714280944,3.670580874,3.719799589,3.98640438,Latin America and the Caribbean,0.021898409,2.499694247,0.842463924,0.342899516,0.17003454,0.279155281,1.284885387,High,4.156145917,High
Guinea-Bissau,1.624783718,1.578061244,1.643289886,1.580088118,1.718640718,1.488630671,1.572904699,1.391575731,1.47592528,1.480374879,Africa,0.060473622,0.106667017,0.311903737,0.005837562,0.69480389,0.375741666,2.93497921,Low,1.555427494,Medium & Low
Eritrea,0.724817648,0.718172321,0.559274246,0.578275141,0.566811877,0.571002109,0.548928296,0.543860127,0.519715703,0.504201791,Africa,0.027640197,0.043594938,0.144279238,0.015901038,0.095437417,0.256653099,1.632366768,Low,0.583505926,Medium & Low
Qatar,15.7873047,16.96494755,16.27160308,15.43227494,14.20496739,14.05974413,13.89226694,12.57960124,14.20363038,14.58043897,Asia,0.048352391,13.27864898,0.669377609,0.220840369,0.148694352,0.431764234,1.031298337,Very High,14.79767793,Very High
Zimbabwe,1.307498844,1.274610945,1.104519414,1.134937173,1.22819063,1.302449928,1.167338448,1.127869789,1.076496296,1.070040794,Africa,0.019904476,0.371408299,0.198651507,0.007465163,0.27482205,0.307143732,0.492835387,Low,1.179395226,Medium & Low
Romania,3.240473987,3.092146017,3.44327491,2.891833245,2.884933822,3.133048351,2.830439421,2.751486584,2.782848926,2.989563584,Europe,0.125446303,1.623848684,0.740732873,0.033870813,0.401479948,0.078626263,2.715829687,Medium,3.004004885,Medium & Low
Rwanda,0.690600592,0.701923148,0.767805671,0.797285479,0.816560257,0.828760607,0.854773149,0.829780253,0.800730944,0.783169265,Africa,0.04264136,0.067934531,0.350134345,0.008086582,0.262297318,0.056044801,0.460849273,Low,0.787138937,Medium & Low
Russian Federation,5.313405384,5.501665742,5.675637991,5.173084515,5.350824358,5.898475025,5.499959889,5.595661106,5.447388757,5.119368093,Europe,0.033373066,3.681917628,0.81884949,0.183198337,0.600805409,0.139403157,6.831838471,High,5.457547086,High
Saint Lucia,3.121532514,2.729182628,2.581290335,2.630513247,2.705261957,2.550354623,2.450604113,2.263301839,2.277250005,2.229369797,North America,0.002320513,1.499504269,0.440107798,0.258906654,0.209084551,0.143942322,0.331356634,Medium,2.553866106,Medium & Low
Saudi Arabia,4.641355964,5.014300533,5.30405863,5.249074454,5.660199089,5.506280622,5.968830788,5.807285918,6.004921191,6.036214902,Asia,0.048887639,4.269427871,0.701197753,0.079406996,0.21254203,0.20778992,0.418016333,High,5.519252209,High
Sierra Leone,1.044611128,0.961200461,1.019137407,1.047696365,1.06922355,1.093033963,1.114327549,1.128675821,1.102164867,1.111543058,Africa,0.045259265,0.079107548,0.399659997,0.096604989,0.34741092,0.101118698,1.090349798,Low,1.069161417,Medium & Low
Slovenia,5.689851616,5.866344176,5.771305567,4.94950052,5.122917023,5.130994171,4.731920275,4.621412601,4.65000818,4.927387794,Europe,0.02399961,3.529890736,0.679038495,0.047155024,0.681922227,0.184158102,2.243775817,High,5.146164192,High
Slovakia,4.562937202,5.179115206,5.510417648,4.559251337,4.555197654,5.173675392,4.198032313,4.433616675,4.286909264,4.23559011,Europe,0.101167325,3.139339845,0.570887195,0.036998201,0.717156426,0.103925289,2.804706845,High,4.66947428,High
Singapore,7.215445612,6.900054958,7.622625061,7.000229293,6.74766743,7.655452515,7.584908619,6.637817991,5.961165559,6.139795243,Asia,0.034022912,5.370012952,0.553786906,0.240923803,0.513838673,0.233930983,0.059750117,High,6.946516228,High
Somalia,1.098075012,1.041310858,1.085088329,1.065758649,1.039299689,0.972075442,0.963236926,0.974589054,0.994389307,0.958856929,Africa,0.027623321,0.043002443,0.107815207,0.0043506,0.421537995,0.414938453,0.888585415,Low,1.01926802,Medium & Low
Spain,5.854259004,5.921322721,5.570609405,4.692361914,4.466184689,4.232291731,3.794038259,3.981179305,3.766869281,3.984391932,Europe,0.040259117,2.787587716,0.992803478,0.352997067,0.290313916,0.162389531,1.324162622,High,4.626350824,High
Suriname,2.547507375,2.553975283,2.607022232,3.724190414,3.830876877,4.244236566,4.4222915,4.022508864,3.594627614,3.427090813,Latin America and the Caribbean,0.093087513,2.277147609,0.511050616,0.114053754,0.441819695,0.060273567,85.45848291,Medium,3.497432754,Medium & Low
Sweden,5.446867308,6.903655024,6.201545576,5.351292383,6.658706192,6.603642776,6.248201525,6.117315202,6.502059151,6.156102624,Europe,0.125711538,3.445166711,0.917910818,0.128475371,1.180398446,0.421275893,9.723086238,High,6.218938776,High
Switzerland,5.667138096,5.886142922,5.844552782,5.466776662,5.484258225,5.415528616,5.120401893,5.158632968,4.870600271,4.747263958,Europe,0.066559465,3.888365727,0.673907541,0.075489161,0.441355835,0.220451911,1.048877672,High,5.366129639,High
Syrian Arab Republic,1.972951013,1.950656727,1.925994755,2.306165278,2.018977871,1.987435906,1.691498071,1.589015843,1.362956004,1.349514628,Asia,0.043573757,1.036109054,0.570972248,0.010653098,0.060938402,0.093270051,0.566478973,Low,1.81551661,Medium & Low
Tanzania,1.219229535,1.232913227,1.157993729,1.159483825,1.190093448,1.246695687,1.302149167,1.415098109,1.422054147,1.400579637,Africa,0.059829062,0.131723641,0.432478498,0.086225375,0.230609731,0.333762745,0.301963545,Low,1.274629051,Medium & Low
Thailand,2.359112276,2.359247856,2.377253273,2.259819766,2.425462178,2.471061093,2.716574493,2.63839699,2.432098219,2.462546826,Asia,0.067675277,1.382142183,0.588932711,0.146388374,0.249421552,0.0155972,1.208187333,Medium,2.450157297,Medium & Low
Togo,0.931964534,0.911109974,0.990275078,1.041785924,1.033197976,1.016919378,1.078805975,1.056042732,1.071706967,1.10690736,Africa,0.024525261,0.26076273,0.312536164,0.060336474,0.273606732,0.09210423,0.537418564,Low,1.02387159,Medium & Low
Oman,6.054244822,6.98123074,6.70386546,5.706633621,5.424592191,6.444020654,6.770639548,5.963208909,6.742210698,7.745229001,Asia,0.163900299,4.843419176,0.53278824,0.373832846,0.155903417,0.383743587,1.573416058,High,6.453587564,High
